iteration, loss, accuracy
2730000, 0.001424, 0.92000
2740000, 0.000443, 1.00000
2750000, 0.001319, 0.94000
2760000, 0.001593, 0.90000
2770000, 0.001075, 0.96000
2780000, 0.001496, 0.92000
2790000, 0.001473, 0.90000
2800000, 0.001098, 0.98000
2810000, 0.002153, 0.90000
2820000, 0.001136, 0.94000
2830000, 0.001619, 0.92000
2840000, 0.002249, 0.88000
2850000, 0.001195, 0.94000
2860000, 0.001524, 0.92000
2870000, 0.001474, 0.92000
2880000, 0.001731, 0.92000
2890000, 0.001801, 0.88000
2900000, 0.001671, 0.94000
2910000, 0.001528, 0.94000
2920000, 0.001008, 0.94000
2930000, 0.001474, 0.92000
2940000, 0.001788, 0.92000
2950000, 0.001568, 0.92000
2960000, 0.001780, 0.92000
2970000, 0.000890, 0.98000
2980000, 0.000701, 0.98000
2990000, 0.001345, 0.96000
3000000, 0.001755, 0.94000
3010000, 0.001649, 0.96000
3020000, 0.001541, 0.94000
3030000, 0.001224, 0.98000
3040000, 0.001580, 0.92000
3050000, 0.001178, 0.94000
3060000, 0.000985, 0.96000
3070000, 0.001740, 0.88000
3080000, 0.001502, 0.90000
3090000, 0.001721, 0.88000
3100000, 0.001056, 0.96000
3110000, 0.001798, 0.88000
3120000, 0.000963, 0.98000
3130000, 0.000527, 1.00000
3140000, 0.001518, 0.92000
3150000, 0.000950, 0.96000
3160000, 0.000658, 0.98000
3170000, 0.001049, 0.96000
3180000, 0.000841, 0.98000
3190000, 0.001628, 0.94000
